HID	humanGene	mouseGene
21378	SOX5	Sox5
21381	ADAMTS1	Adamts1
21383	UPK1A	Upk1a
21385	WWP1	Wwp1
21389	TPPP	Tppp
21392	CAPN11	Capn11
21397	NR1H2	Nr1h2
21398	UTRN	Utrn
21401	ZXDB	Zxdb
21404	CIT	Cit
21408	ABCF2	Abcf2
21409	ANXA10	Anxa10
21410	KLK8	Klk8
21411	FZD10	Fzd10
21412	PRAF2	Praf2
21413	CA5B	Car5b
21414	PACSIN2	Pacsin2
21416	KLHL2	Klhl2
21417	KLF12	Klf12
21419	SLCO2B1	Slco2b1
21422	CTRC	Ctrc
21428	STAT1	Stat1
21477	PRMT1	Prmt1
21542	PGK1	Pgk1
21564	PTPRO	Ptpro
21600	RANBP1	Ranbp1
21610	SPTLC2	Sptlc2
21620	TM9SF4	Tm9sf4
21661	FHIT	Fhit
21744	AK3	Ak3
21832	NALCN	Nalcn
21848	GK	Gykl1
21853	TMLHE	Tmlhe
21858	SLC25A16	Slc25a16
21915	ATP9B	Atp9b
21941	SLC13A5	Slc13a5
21972	AP1B1	Ap1b1
22002	UBA1	Uba1
22068	VPS13A	Vps13a
22082	MED14	Med14
22125	MOSPD2	Mospd2
22211	PAK7	Pak7
22217	ZCCHC7	Zcchc7
22219	EIF1B	Eif1b
22223	DECR2	Decr2
22239	POLR1D	Polr1d
22278	PAQR4	Paqr4
22337	TAGLN3	Tagln3
22370	RRP12	Rrp12
22397	AP4E1	Ap4e1
22398	GNA12	Gna12
22400	ADCY6	Adcy6
22401	ANGPT2	Angpt2
22409	RHOD	Rhod
22410	HNRNPD	Hnrnpd
22411	BCAP29	Bcap29
22412	BMP5	Bmp5
22416	CDK11A	Cdk11b
22419	ACKR3	Ackr3
22421	COL13A1	Col13a1
22423	COL8A1	Col8a1
22426	CUX2	Cux2
22430	DCN	Dcn
22431	DHH	Dhh
22436	EPHA8	Epha8
22443	GABRG2	Gabrg2
22444	GABRG3	Gabrg3
22453	HCN3	Hcn3
22455	HES2	Hes2
22456	HIAT1	Hiat1
22461	HTR5A	Htr5a
22462	IFIT1B	Ifit1
22465	KCNS2	Kcns2
22468	KLC2	Klc2
22472	KPNA6	Kpna6
22473	KRT84	Krt84
22475	LFNG	Lfng
22477	LTB4R	Ltb4r1
22482	MMP8	Mmp8
22494	PAX3	Pax3
22495	PCSK4	Pcsk4
22500	PTP4A3	Ptp4a3
22515	SLK	Slk
22516	SYT2	Syt2
22519	TNFAIP1	Tnfaip1
22520	TRAF2	Traf2
22522	TSPYL1	Tspyl1
22524	UCP1	Ucp1
22525	WNT10A	Wnt10a
22526	WNT2B	Wnt2b
22527	WNT3	Wnt3
22528	WNT3A	Wnt3a
22529	WNT4	Wnt4
22530	WNT5B	Wnt5b
22531	WNT7B	Wnt7b
22542	ATRN	Atrn
22544	CACNA1G	Cacna1g
22546	CCR9	Ccr9
22547	COL11A2	Col11a2
22548	CPT1B	Cpt1b
22558	DLX1	Dlx1
22559	DMWD	Dmwd
22560	DPP6	Dpp6
22561	DRD2	Drd2
22566	FGFR2	Fgfr2
22567	IL4I1	Nup62-il4i1
22567	IL4I1	Il4i1
22568	FKBP7	Fkbp7
22570	GABRG1	Gabrg1
22574	GNAZ	Gnaz
22575	GNG3	Gng3
22586	IHH	Ihh
22589	KIF13A	Kif13a
22604	NKX2-6	Nkx2-6
22608	OR2V1	Olfr56
22609	OPRL1	Oprl1
22610	HSPA4L	Hspa4l
22614	PDCD6IP	Pdcd6ip
22621	PTCRA	Ptcra
22623	RAB19	Rab19
22627	ITSN2	Itsn2
22628	CYFIP1	Cyfip1
22630	SLC22A3	Slc22a3
22631	SOX6	Sox6
22648	LIN7B	Lin7b
22649	LIN7C	Lin7c
22650	VILL	Vill
22651	BAZ1B	Baz1b
22659	IKZF2	Ikzf2
22663	FIZ1	Fiz1
22664	FYB	Fyb
22669	MMP17	Mmp17
22672	TENM2	Tenm2
22673	TENM3	Tenm3
22674	PACSIN1	Pacsin1
22678	AVPR1B	Avpr1b
22681	PLOD2	Plod2
22682	SEMA4G	Sema4g
22684	SLC7A11	Slc7a11
22685	COPS7A	Cops7a
22687	ERN2	Ern2
22689	TRPC7	Trpc7
22691	ATP1B4	Atp1b4
22693	AP3M1	Ap3m1
22695	ANGPTL2	Angptl2
22696	BACE2	Bace2
22697	CHRM5	Chrm5
22702	GCA	Gca
22704	RHOQ	Rhoq
22705	HEY2	Hey2
22708	ITGB1BP2	Itgb1bp2
22710	MORF4L2	Morf4l2
22712	LPHN2	Lphn2
22716	TSPAN15	Tspan15
22718	SERPINB13	Serpinb13
22722	FSCN2	Fscn2
22724	SSBP2	Ssbp2
22725	YWHAG	Ywhag
22726	GLS	Gls
22728	MYLPF	Mylpf
22738	SCN5A	Scn5a
22739	STK39	Stk39
22740	DNAJC15	Dnajc15
22742	TBK1	Tbk1
22747	PURG	Purg
22748	DPP7	Dpp7
22750	CYTH4	Cyth4
22752	PRICKLE4	Prickle4
22753	FADS1	Fads1
22754	TONSL	Tonsl
22758	ADD1	Add1
22759	ANXA11	Anxa11
22761	DSC1	Dsc1
22767	LDHC	Ldhc
22775	SRR	Srr
22778	MMEL1	Mmel1
22782	ERMAP	Ermap
22783	ABCA7	Abca7
22784	ABCF3	Abcf3
22785	NDRG2	Ndrg2
22790	MAPK8IP3	Mapk8ip3
22798	GABRP	Gabrp
22799	IMPA2	Impa2
22800	SLC25A13	Slc25a13
22803	ADAMTS7	Adamts7
22806	AIPL1	Aipl1
22807	MTCH1	Mtch1
22808	ZNF318	Zfp318
22809	CLEC4E	Clec4e
22810	REPIN1	Repin1
22811	KCNV1	Kcnv1
22812	PKD2L2	Pkd2l2
22815	RAB30	Rab30
22816	RPS6KA6	Rps6ka6
22817	TMOD2	Tmod2
22818	TRPM5	Trpm5
22823	LMCD1	Lmcd1
22824	KCNIP1	Kcnip1
22825	EHD2	Ehd2
22826	NPHS2	Nphs2
22827	ARHGEF10	Arhgef10
22828	PPM1F	Ppm1f
22830	PUM1	Pum1
22835	ACAP1	Acap1
22836	CLSTN3	Clstn3
22837	STARD8	Stard8
22838	KMT2B	Kmt2b
22840	RASSF2	Rassf2
22844	CEP170	Cep170
22848	PPM1E	Ppm1e
22851	MLXIP	Mlxip
22853	ACIN1	Acin1
22855	WDFY3	Wdfy3
22857	XPO7	Xpo7
22858	PDXDC1	Pdxdc1
22860	GGA2	Gga2
22861	TRAK2	Trak2
22862	CDK19	Cdk19
22865	COLGALT2	Colgalt2
22866	PLXND1	Plxnd1
22867	DCUN1D4	Dcun1d4
22869	FCHO1	Fcho1
22870	SLC35D1	Slc35d1
22873	RHOBTB2	Rhobtb2
22875	SIK2	Sik2
22876	PLCB1	Plcb1
22877	PDS5A	Pds5a
22878	LPHN3	Lphn3
22880	EHBP1	Ehbp1
22882	TRIM2	Trim2
22888	FAM19A5	Fam19a5
22889	ABHD14A	Abhd14a
22894	RCHY1	Rchy1
22898	NSL1	Nsl1
22899	RWDD3	Rwdd3
22902	NECAP1	Necap1
22904	MOXD1	Moxd1
22906	DNM3	Dnm3
22907	AUTS2	Auts2
22910	ABHD12	Abhd12
22913	TRAF3IP1	Traf3ip1
22925	FGD3	Fgd3
22931	KRT76	Krt76
22933	AZIN1	Azin1
22935	PI15	Pi15
22936	NUDT13	Nudt13
22941	SNX7	Snx7
22942	YBX2	Ybx2
22943	SIDT2	Sidt2
22946	PKD2L1	Pkd2l1
22947	HSPB11	Hspb11
22949	SHANK1	Shank1
22951	MTMR2	Mtmr2
22952	ING4	Ing4
22953	PIAS1	Pias1
22954	CERCAM	Cercam
22955	TRPC4	Trpc4
22964	DCXR	Dcxr
22965	BIN2	Bin2
22968	RAPGEF6	Rapgef6
22969	CENPF	Cenpf
22976	MPP6	Mpp6
22978	PAIP2	Paip2
22983	GMPR2	Gmpr2
22991	HNRNPU	Hnrnpu
22992	HNRNPA2B1	Hnrnpa2b1
22994	GIPC2	Gipc2
22995	RAB25	Rab25
22996	CDON	Cdon
22999	ITGB1	Itgb1
23001	PTK2B	Ptk2b
23004	FZD3	Fzd3
23006	PRKAG3	Prkag3
23008	SLCO1C1	Slco1c1
23009	SEPT1	Sept1
23015	RBM24	Rbm24
23019	MYH2	Myh2
23022	STAB2	Stab2
23024	SMG6	Smg6
23029	CNNM3	Cnnm3
23031	DDX60	Ddx60
23032	FAM46A	Fam46a
23033	TRPM4	Trpm4
23036	KLHL28	Klhl28
23040	CC2D1A	Cc2d1a
23042	ELOVL2	Elovl2
23043	TBC1D22B	Tbc1d22b
23047	SEMA4C	Sema4c
23048	RPP25	Rpp25
23052	SLC41A3	Slc41a3
23053	C1orf109	9930104L06Rik
23056	CCDC109B	Ccdc109b
23057	DENND4C	Dennd4c
23059	FKBP14	Fkbp14
23060	CADPS2	Cadps2
23062	SUSD4	Susd4
23064	RUFY2	Rufy2
23067	WDR60	Wdr60
23068	XKR8	Xkr8
23069	TMEM39B	Tmem39b
23070	CRTAC1	Crtac1
23071	PIWIL2	Piwil2
23075	CDCA8	Cdca8
23076	ZNF334	Zfp334
23077	FAM178A	Fam178a
23080	RIC8B	Ric8b
23082	GOLPH3L	Golph3l
23087	WDR41	Wdr41
23088	ECHDC2	Echdc2
23089	ARHGAP12	Arhgap12
23090	LRRC36	Lrrc36
23095	AP5S1	Ap5s1
23097	TXLNG	Txlng
23099	CSGALNACT1	Csgalnact1
23101	MBNL3	Mbnl3
23106	ECHDC1	Echdc1
23109	CSGALNACT2	Csgalnact2
23110	DNAJA4	Dnaja4
23111	HES6	Hes6
23112	KCNJ16	Kcnj16
23116	LANCL2	Lancl2
23117	TMEM55A	Tmem55a
23120	SYT11	Syt11
23121	ABHD2	Abhd2
23123	BAIAP2L1	Baiap2l1
23125	KLHL9	Klhl9
23130	BRWD1	Brwd1
23132	SLC38A2	Slc38a2
23133	NLGN3	Nlgn3
23137	TNRC6C	Tnrc6c
23141	ADAMTSL4	Adamtsl4
23148	CDH22	Cdh22
23149	ADCY4	Adcy4
23152	RGS8	Rgs8
23158	GRK4	Grk4
23162	PTBP2	Ptbp2
23164	ESPN	Espn
23165	HNRNPH2	Hnrnph2
23168	IKBKE	Ikbke
23179	CYP26B1	Cyp26b1
23181	TLX3	Tlx3
23182	PMFBP1	Pmfbp1
23184	DNAJB8	Dnajb8
23186	MBNL1	Mbnl1
23191	TMEM9B	Tmem9b
23194	MYL1	Myl1
23200	PAK6	Pak6
23201	CA10	Car10
23202	CELF4	Celf4
23209	CDC42SE1	Cdc42se1
23210	KIF15	Kif15
23217	PLSCR4	Plscr4
23219	PLSCR3	Plscr3
23221	ANO2	Ano2
23226	ATP8B2	Atp8b2
23228	NDRG4	Ndrg4
23230	FHL5	Fhl5
23231	TAS2R3	Tas2r137
23233	PCBP3	Pcbp3
23241	OR10A4	Olfr17
23243	PELI1	Peli1
23244	ZNF287	Zfp287
23246	ABHD6	Abhd6
23249	KIAA1324	5330417C22Rik
23251	NCEH1	Nceh1
23253	STAMBPL1	Stambpl1
23264	ALS2	Als2
23266	CPNE5	Cpne5
23273	SLC46A2	Slc46a2
23275	ZNF2	Zfp661
23277	SLC5A6	Slc5a6
23286	CDH19	Cdh19
23287	RBAK	Rbak
23290	MYL7	Myl7
23292	ARHGAP22	Arhgap22
23296	MPP4	Mpp4
23302	PARD6B	Pard6b
23303	RAB37	Rab37
23311	MYOZ1	Myoz1
23313	ENPP5	Enpp5
23317	KLHL12	Klhl12
23320	RGS19	Rgs19
23324	NR1D1	Nr1d1
23328	CCDC90B	Ccdc90b
23331	RIC8A	Ric8
23336	FN3K	Fn3k
23340	SLC4A10	Slc4a10
23343	ZNF667	Zfp667
23344	PRSS22	Prss22
23345	MMP27	Mmp27
23348	NPFFR1	Npffr1
23349	XYLT2	Xylt2
23356	SPATA1	Spata1
23357	DPEP3	Dpep3
23359	TOR3A	Tor3a
23360	RNF187	Rnf187
23361	ABCG8	Abcg8
23363	IKZF5	Ikzf5
23366	PCNXL4	Pcnxl4
23369	ALDH8A1	Aldh8a1
23371	SPEF2	Spef2
23375	MMP25	Mmp25
23377	NUCKS1	Nucks1
23378	CCDC136	Ccdc136
23379	FAM160B2	Fam160b2
23382	AEN	Aen
23383	RBM15	Rbm15
23384	LMF1	Lmf1
23385	OSBPL11	Osbpl11
23386	SVEP1	Svep1
23389	PAPOLA	Papola
23391	ACD	Acd
23393	PDZD2	Pdzd2
23394	SFXN3	Sfxn3
23395	UPF3A	Upf3a
23401	PCDH15	Pcdh15
23404	EEF1D	Eef1d
23407	MYL12A	Myl12b
23409	PTPLB	Ptplb
23411	SSBP3	Ssbp3
23420	RAB3C	Rab3c
23421	RALGPS2	Ralgps2
23429	PCYOX1L	Pcyox1l
23430	YIPF2	Yipf2
23433	TRPM8	Trpm8
23435	ZNF426	Zfp426
23441	GDPD3	Gdpd3
23450	SH3BP5	Sh3bp5
23454	LRRC2	Lrrc2
23455	ATP13A3	Atp13a3
23459	ZNF329	Zfp329
23460	ZNF322	Zfp322a
23461	ZC2HC1C	Zc2hc1c
23464	LRRK1	Lrrk1
23465	COLGALT1	Glt25d1
23468	KCTD17	Kctd17
23469	CXorf36	4930578C19Rik
23475	ELMO3	Elmo3
23477	ZFHX4	Zfhx4
23480	MYH14	Myh14
23484	PIP4K2C	Pip4k2c
23485	ZBTB3	Zbtb3
23487	CSPP1	Cspp1
23488	TUBAL3	Tubal3
23489	RABEP2	Rabep2
23493	ZNF672	Zfp672
23499	SYNPO2L	Synpo2l
23509	ATF7IP2	Atf7ip2
23509	ATF7IP2	LOC102635068
23514	ZNF606	Zfp606
23516	FRAS1	Fras1
23519	ACSF2	Acsf2
23520	TARS2	Tars2
23522	RUFY1	Rufy1
23523	PREX2	Prex2
23528	KCNIP4	Kcnip4
23529	BTBD1	Btbd1
23530	SLC19A3	Slc19a3
23531	TSGA10	Tsga10
23543	CENPP	Cenpp
23544	CHMP4C	Chmp4c
23546	CYB5B	Cyb5b
23547	TNFAIP8L1	Tnfaip8l1
23551	SNX31	Snx31
23553	KCNG4	Kcng4
23555	C6orf201	4933417A18Rik
23565	DRAM2	Dram2
23566	DOCK7	Dock7
23569	DEDD2	Dedd2
23571	KLHL13	Klhl13
23580	DGAT2	Dgat2
23582	ASPRV1	Asprv1
23585	FAM134C	Fam134c
23587	UBXN2B	Ubxn2b
23588	SERPINA12	Serpina12
23595	TSPAN11	Tspan11
23598	FBXW9	Fbxw9
23600	ARL8A	Arl8a
23604	LYZL4	Lyzl4
23611	KHNYN	Khnyn
23617	DEGS2	Degs2
23618	SDR9C7	Sdr9c7
23629	TMEM80	Tmem80
23631	SERPINB12	Serpinb12
23632	PPM1J	Ppm1j
23633	SERPINA9	Serpina9
23634	CERS5	Cers5
23642	SGOL1	Sgol1
23645	ARHGAP8	Arhgap8
23645	PRR5-ARHGAP8	Arhgap8
23647	ACTRT2	Actrt2
23648	ACTRT1	Actrt1
23652	ANKRD42	Ankrd42
23654	SDR42E1	Sdr42e1
23656	SLC7A13	Slc7a13
23662	MTMR3	Mtmr3
23664	SEMA3D	Sema3d
23665	SMCHD1	Smchd1
23668	LRRIQ3	Lrriq3
23670	TMC1	Tmc1
23672	ELOVL7	Elovl7
23682	C1orf192	1700009P17Rik
23686	VMP1	Vmp1
23692	DNAJC18	Dnajc18
23700	ZNF449	Zfp449
23703	N4BP1	N4bp1
23708	ACAP3	Acap3
23710	KCNIP2	Kcnip2
23713	OR51E2	Olfr78
23715	FAM83D	Fam83d
23717	TSPAN14	Tspan14
23727	RNF17	Rnf17
23732	SLC4A9	Slc4a9
23734	ZNF275	Zfp275
23741	HMCN1	Hmcn1
23742	AGAP3	Agap3
23743	PRSS27	Prss27
23744	SNX25	Snx25
23749	HDAC10	Hdac10
23766	NAA38	Naa38
23770	SLX4	Slx4
23771	MEGF10	Megf10
23775	KIF2B	Kif2b
23778	MYPN	Mypn
23779	HES7	Hes7
23784	KLHL22	Klhl22
23789	RAB2B	Rab2b
23813	SLC45A3	Slc45a3
23814	ANKRD13A	Ankrd13a
23815	PLCZ1	Plcz1
23819	TRIM15	Trim15
23924	PAPL	Papl
24122	TSPAN18	Tspan18
24255	PRMT3	Prmt3
24284	GNAT3	Gnat3
24321	SLC25A43	Slc25a43
24376	CAPZA1	Capza1
24504	SLC35B2	Slc35b2
24535	HARBI1	Harbi1
24625	HMX2	Hmx2
24678	PIK3R4	Pik3r4
24848	SEC14L3	Sec14l3
24911	MICALL1	Micall1
24912	CNTNAP4	Cntnap4
24916	DISP2	Disp2
24917	SLC38A5	Slc38a5
24918	SPRED2	Spred2
24919	SPRED1	Spred1
24921	LMX1A	Lmx1a
24928	FAM46B	Fam46b
24930	ACSM1	Acsm1
24933	COMMD7	Commd7
24934	RTN3	Rtn3
24938	TAAR1	Taar1
24942	VIT	Vit
24944	CLASP2	Clasp2
24945	NFASC	Nfasc
24986	MRGPRX2	Mrgprx2
24986	MRGPRX2	Mrgprb1
24989	B3GNT5	B3gnt5
24993	OXR1	Oxr1
25079	TPPP2	Tppp2
25090	SVIL	Svil
25103	TRAK1	Trak1
25107	FAM76B	Fam76b
25135	FAM154B	Fam154b
25138	PGPEP1L	Pgpep1l
25175	UPRT	Uprt
25183	CD109	Cd109
25228	TTC39B	Ttc39b
25235	FAM26F	Fam26f
25256	MED13L	Med13l
25260	TOR2A	Tor2a
25279	LPPR5	4833424O15Rik
25281	KDM7A	Kdm7a
25286	NIM1K	Nim1k
25315	SPSB4	Spsb4
25324	PNPLA1	Pnpla1
25444	MVB12B	Mvb12b
25521	TMTC2	Tmtc2
25536	HEATR5B	Heatr5b
25624	SRSF4	Srsf4
25627	GANC	Ganc
25655	RAB26	Rab26
25661	ACOT2	Acot2
25712	PTCHD2	Ptchd2
25745	TEKT4	Tekt4
25798	PAIP2B	Paip2b
25816	DNAH10	Dnah10
25873	CASKIN1	Caskin1
25876	KRT72	Krt72
25877	TMC2	Tmc2
25878	OXGR1	Oxgr1
26078	CPNE4	Cpne4
26079	DHRS9	Dhrs9
26080	LRRC15	Lrrc15
26091	OTOP3	Otop3
26151	UBR2	Ubr2
26174	KCNQ2	Kcnq2
26175	WHSC1	Whsc1
26400	IQGAP3	Iqgap3
26419	ZNF483	Zkscan16
26423	KCNV2	Kcnv2
26426	RHOV	Rhov
26428	KLK10	Klk10
26429	ABHD17C	Abhd17c
26430	EHD4	Ehd4
26431	MAGI3	Magi3
26432	SLC15A4	Slc15a4
26435	FAM208B	BC016423
26439	CARNS1	Carns1
26544	CACNA2D4	Cacna2d4
26572	FAM46D	Fam46d
26615	SHROOM4	Shroom4
26645	DOPEY1	Dopey1
26695	APOBR	Apobr
26696	JOSD2	Josd2
26698	SCRN2	Scrn2
26700	SHKBP1	Shkbp1
26701	HNRNPLL	Hnrnpll
26702	TMEM44	Tmem44
26703	SMIM19	Smim19
26714	UNC13D	Unc13d
26716	GABRR3	Gabrr3
26722	DNER	Dner
26724	ACVR1C	Acvr1c
26726	SGCZ	Sgcz
26727	FGD4	Fgd4
26732	LHFPL3	Lhfpl3
26752	NFXL1	Nfxl1
26807	EML5	Eml5
26818	CCDC153	Ccdc153
26894	ILF2	Ilf2
27006	PEX1	Pex1
27024	RNF126	Rnf126
27026	CAPN13	Capn13
27027	COQ10A	Coq10a
27031	SCLT1	Sclt1
27035	SEPT10	Sept10
27037	MARVELD2	Marveld2
27040	SGMS1	Sgms1
27041	TAOK1	Taok1
27044	EML3	Eml3
27048	KLK11	Klk11
27049	FREM1	Frem1
27053	VWA3B	Vwa3b
27056	CCDC11	Ccdc11
27057	FBXL13	Fbxl13
27059	PELI3	Peli3
27066	WDR90	Wdr90
27069	SFT2D2	Sft2d2
27071	FAM76A	Fam76a
27072	NCMAP	Ncmap
27073	RNF223	Rnf223
27075	KLHL17	Klhl17
27077	PPP1R42	Ppp1r42
27079	TRAF5	Traf5
27083	ZNF23	Zfp612
27084	RELL1	Rell1
27085	C5orf51	AW549877
27086	KCNJ14	Kcnj14
27087	TIFAB	Tifab
27088	TMEM82	Tmem82
27092	RNF144B	Rnf144b
27095	SLC26A8	Slc26a8
27098	ZNF48	Zfp553
27116	OR11H6	Olfr745
27137	OR51T1	Olfr574
27165	OR10G3	Olfr1512
27178	OR5H15	Olfr183
27189	OR11A1	Olfr96
27225	OR6F1	Olfr308
27232	OR2A7	Olfr13
27232	OR2A4	Olfr13
27260	OR6C74	Olfr821
27297	OR4S2	Olfr1193
27354	MIEF2	Mief2
27358	SLC8A2	Slc8a2
27362	GYLTL1B	Gyltl1b
27367	ANKRD13B	Ankrd13b
27376	KANSL1L	Kansl1l
27384	FAM227B	Fam227b
27391	MS4A15	Ms4a15
27392	CPNE2	Cpne2
27394	BEND6	Bend6
27395	SDK1	Sdk1
27396	KIAA1324L	9330182L06Rik
27397	TMEM196	Tmem196
27406	ZFP3	Zfp3
27407	TMEM52B	Tmem52b
27409	SLC16A11	Slc16a11
27410	PRSS42	Prss42
27415	CEP120	Cep120
27419	LRRC34	Lrrc34
27420	ZNF791	Zfp791
27469	TBC1D24	Tbc1d24
27540	FAM149A	Fam149a
27544	LPCAT4	Lpcat4
27547	ANKRD44	Ankrd44
27548	FAM154A	Fam154a
27549	TECRL	Tecrl
27550	SLC38A6	Slc38a6
27612	ANKRD13D	Ankrd13d
27616	TMTC3	Tmtc3
27773	KDM4B	Kdm4b
27775	SLC6A17	Slc6a17
27780	KDM4A	Kdm4a
27781	DTX4	Dtx4
27795	ZBTB41	Zbtb41
27797	SERINC2	Serinc2
27798	FGD5	Fgd5
27800	KCTD13	Kctd13
27803	OTOP2	Otop2
27805	ZNF250	Zfp647
27813	CCDC142	Ccdc142
27819	KLHL31	Klhl31
27821	MGAT5B	Mgat5b
27825	ARHGAP39	Arhgap39
27827	NFATC3	Nfatc3
27831	TPH2	Tph2
27832	ZNF445	Zfp445
27834	NHSL1	Nhsl1
27838	WDR88	Wdr88
27843	CNBD1	Cnbd1
27844	TRIM65	Trim65
27849	KLHL35	Klhl35
27855	SLC25A41	Slc25a41
27862	ATP11C	Atp11c
27863	HMGCLL1	Hmgcll1
27865	PDZD9	Pdzd9
27867	C3orf38	4930453N24Rik
27874	TAAR6	Taar6
27875	KRT73	Krt73
27876	ANKRD46	Ankrd46
27877	ERICH3	4922501L14Rik
27885	CHCHD10	Chchd10
27888	ANO6	Ano6
27890	CCDC40	Ccdc40
27894	CLVS2	Clvs2
27907	AGRN	Agrn
27911	ODF3L1	Odf3l1
27932	CCDC125	Ccdc125
27936	KIAA1731	5830418K08Rik
27942	CCDC171	Ccdc171
27943	P4HA3	P4ha3
27945	VWC2L	Vwc2l
27946	TMEM215	Tmem215
27952	SH3PXD2B	Sh3pxd2b
27953	PPFIA2	Ppfia2
27965	CDNF	Cdnf
27970	TGM6	Tgm6
27982	B4GALNT4	B4galnt4
27985	EDRF1	Edrf1
27991	ABCA13	Abca13
27996	MYO1G	Myo1g
27997	MSS51	Mss51
28039	CRIP3	Crip3
28044	TRIM66	Trim66
28053	C10orf53	1700024G13Rik
28056	VWA5B2	Vwa5b2
28061	SPRED3	Spred3
28066	GPR183	Gpr183
28072	PLK5	Plk5
28086	CCSER1	Ccser1
28089	CYP26C1	Cyp26c1
28091	PRSS41	Prss41
28093	CCDC108	Ccdc108
28097	LMOD3	Lmod3
28098	CXorf23	A830080D01Rik
28106	TBC1D9B	Tbc1d9b
28121	KLHL14	Klhl14
28122	NUP210L	Nup210l
28131	RALGAPA2	Ralgapa2
28133	FAM160B1	Fam160b1
28135	TMEM132B	Tmem132b
28165	NIPAL1	Nipal1
28168	METTL11B	Mettl11b
28173	FNIP1	Fnip1
28227	SOGA3	Soga3
28235	RNF157	Rnf157
28246	C5orf49	1700001L19Rik
28254	DENND3	Dennd3
28255	KIAA1644	1810041L15Rik
28256	ODF3B	Odf3b
28259	GXYLT1	Gxylt1
28264	ENPP4	Enpp4
28266	TAF4B	Taf4b
28267	LIPM	Lipm
28270	KCNQ5	Kcnq5
28276	RC3H2	Rc3h2
28281	DENND4B	Dennd4b
28290	LOC100129924	4930538K18Rik
28295	MTHFD2L	Mthfd2l
28297	HECTD4	Gm15800
28302	LMOD2	Lmod2
28311	TEPP	Tepp
28312	ISX	Isx
28313	KIAA1377	AK129341
28332	SATL1	Satl1
28384	CDC42BPG	Cdc42bpg
28386	RBM20	Rbm20
28424	RASEF	Rasef
28426	AADACL3	Aadacl3
28427	ANKRD65	Ankrd65
28446	ARHGAP42	Arhgap42
28447	CNTN5	Cntn5
28448	CCDC15	Ccdc15
28456	ARL5C	Arl5c
28467	ARHGEF37	Arhgef37
28471	TMEM212	Tmem212
28490	SERPINA11	Serpina11
28494	TEN1	Ten1
28514	GOLGA7B	Golga7b
28523	FIGNL2	Fignl2
28526	LOC389895	Gm715
28537	OR2V2	Olfr1396
28544	CRYBG3	Crybg3
28546	RBBP8	Rbbp8
28553	TMEM213	Tmem213
28580	MRGPRG	Mrgprg
28583	HNRNPUL2	Hnrnpul2
28613	GPR137C	Gpr137c
28624	CHSY3	Chsy3
28634	AADACL2	Aadacl2
28658	RBM12B	Rbm12b1
28658	RBM12B	Rbm12b2
28688	PLSCR5	Plscr5
28697	TROAP	Troap
28701	KBTBD11	Kbtbd11
28725	CDKL4	Cdkl4
28727	C1orf228	Gm1661
28743	FKBP15	Fkbp15
30136	HLTF	Hltf
30927	SBK2	Sbk2
30948	ADRB2	Adrb2
30950	APC	Apc
30951	APOE	Apoe
30952	ATM	Atm
30953	BTK	Btk
30955	CYP19A1	Cyp19a1
30957	EXT1	Ext1
30958	FBN1	Fbn1
30960	NR3C1	Nr3c1
30961	SHH	Shh
30964	NCF1	Ncf1
30967	ATXN7	Atxn7
30969	TYR	Tyr
30970	WAS	Was
30972	GP1BB	Gp1bb
30976	F10	F10
30980	RFX2	Rfx2
30982	COMT	Comt
30987	CYP7A1	Cyp7a1
30992	DRD1	Drd1a
30994	HMGCR	Hmgcr
30997	IGF1R	Igf1r
30998	P4HA1	P4ha1
30999	PNLIP	Pnlip
31000	PTGS2	Ptgs2
31001	RPL6	Gm5428
31001	RPL6	Rpl6
31013	AANAT	Aanat
31015	ACACA	Acaca
31016	ACTN2	Actn2
31022	HCN2	Hcn2
31023	C1QBP	C1qbp
31024	CASP9	Casp9
31035	ELAVL3	Elavl3
31036	ELF4	Elf4
31038	FHL1	Fhl1
31039	FOXO3	Foxo3
31040	GTF3C1	Gtf3c1
31043	IFRD1	Ifrd1
31046	ARVCF	Arvcf
31048	BNC1	Bnc1
31052	CD22	Cd22
31053	CD79A	Cd79a
31055	CHML	Chml
31056	CHN1	Chn1
31061	ATF2	Atf2
31065	MPP3	Mpp3
31070	GLRA2	Glra2
31074	HLF	Hlf
31075	HMOX1	Hmox1
31078	FOXN2	Foxn2
31080	INSM1	Insm1
31081	ISG20	Isg20
31083	KRT34	Krt34
31085	LY75	Ly75
31086	M6PR	M6pr
31087	MEF2C	Mef2c
31088	MGAT3	Mgat3
31089	MGMT	Mgmt
31092	MYC	Myc
31093	NDUFB5	Ndufb5
31094	OAZ2	Oaz2
31097	PAPPA	Pappa
31098	PARN	Parn
31099	PCDHGC3	Pcdhgc3
31103	PIGF	Pigf
31105	EXOSC10	Exosc10
31106	PPM1G	Ppm1g
31110	HHEX	Hhex
31114	HTRA1	Htra1
31115	PSD	Psd
31118	RAD52	Rad52
31119	RFX4	Rfx4
31121	SDC4	Sdc4
31122	SGTA	Sgta
31124	SKI	Ski
31125	SLC4A5	Slc4a5
31126	SLC10A1	Slc10a1
31127	SNAI2	Snai2
31129	SMPD2	Smpd2
31130	SNAPC3	Snapc3
31132	SPARC	Sparc
31133	SPG7	Spg7
31135	SRF	Srf
31137	TAF2	Taf2
31139	TFAM	Tfam
31140	TEF	Tef
